"ESST_ID","V_ADOSZAM_TORZSSZAM_DEP","X_BRUTTO_HUF","KATEGORIA"
54916,3462,3199,"egyeb"
49736,3462,120720,"konyvel"
64829,3462,3141,"egyeb"
69667,3462,146058,"konyvel"
81657,3462,125433,"konyvel"
76122,3462,3063,"egyeb"
40734,3462,124505,"konyvel"
81657,3462,125433,"konyvel"
43598,3462,3134,"egyeb"
98285,3462,124888,"konyvel"
47105,3462,2930,"egyeb"
40591,3462,3265,"egyeb"
10599,3462,127092,"konyvel"
81657,3462,133337,"konyvel"
38817,3462,121749,"konyvel"
92800,3462,127538,"konyvel"
12549,3462,3053,"egyeb"
10599,3462,127092,"konyvel"
10302,3462,149742,"konyvel"
11313,3462,121743,"konyvel"
54682,3462,3264,"egyeb"
44051,3462,125157,"konyvel"
10599,3462,126183,"konyvel"
81657,3462,133337,"konyvel"
10599,3462,123832,"konyvel"
70596,3462,145562,"konyvel"
26494,3462,129950,"konyvel"
10302,3462,141231,"konyvel"
45119,3462,150597,"konyvel"
10302,3462,147038,"konyvel"
10599,3462,127092,"konyvel"
10664,3462,130014,"konyvel"
35091,3462,127439,"konyvel"
10599,3462,123832,"konyvel"
70596,3462,151949,"konyvel"
45119,3462,150885,"konyvel"
81657,3462,124624,"konyvel"
70596,3462,151949,"konyvel"
80890,3462,3066,"egyeb"
57738,3462,3142,"egyeb"
26494,3462,129950,"konyvel"
10664,3462,130014,"konyvel"
44051,3462,121991,"konyvel"
92456,3462,144236,"konyvel"
10599,3462,126183,"konyvel"
69227,3462,3106,"egyeb"
81657,3462,124624,"konyvel"
92979,3462,121208,"konyvel"
70596,3462,151949,"konyvel"
65322,3462,3168,"egyeb"
45119,3462,150885,"konyvel"
92800,3462,133182,"konyvel"
10302,3462,149742,"konyvel"
10302,3462,141231,"konyvel"
11313,3462,126255,"konyvel"
44051,3462,121991,"konyvel"
44051,3462,121991,"konyvel"
70596,3462,145562,"konyvel"
48100,3462,2557,"egyeb"
92979,3462,125622,"konyvel"
94965,3462,130342,"konyvel"
92979,3462,129433,"konyvel"
27861,3462,3174,"egyeb"
81657,3462,124624,"konyvel"
45865,3462,133047,"konyvel"
26494,3462,132896,"konyvel"
58341,3462,123255,"konyvel"
34114,3462,142544,"konyvel"
64185,3462,139021,"konyvel"
26494,3462,122690,"konyvel"
35091,3462,127439,"konyvel"
35091,3462,127439,"konyvel"
56781,3462,2053,"egyeb"
26494,3462,122690,"konyvel"
58168,3462,3328,"egyeb"
81657,3462,133337,"konyvel"
92979,3462,129433,"konyvel"
21118,3462,854,"egyeb"
78342,3462,3331,"egyeb"
49736,3462,128361,"konyvel"
34114,3462,140174,"konyvel"
10302,3462,149742,"konyvel"
70701,3462,3289,"egyeb"
44051,3462,125157,"konyvel"
60608,3462,3069,"egyeb"
43777,3462,3128,"egyeb"
92456,3462,144236,"konyvel"
38024,3462,3138,"egyeb"
92979,3462,125622,"konyvel"
46623,3462,3025,"egyeb"
45865,3462,133047,"konyvel"
70596,3462,151682,"konyvel"
49736,3462,130204,"konyvel"
14954,3462,3213,"egyeb"
58341,3462,126387,"konyvel"
26494,3462,129950,"konyvel"
41718,3462,3306,"egyeb"
57967,3462,1190,"egyeb"
49736,3462,120720,"konyvel"
11313,3462,127984,"konyvel"
94965,3462,121584,"konyvel"
92340,3462,123678,"konyvel"
10664,3462,128113,"konyvel"
70596,3462,151682,"konyvel"
45119,3462,142253,"konyvel"
49736,3462,128361,"konyvel"
51983,3462,123081,"konyvel"
51983,3462,127682,"konyvel"
34114,3462,140174,"konyvel"
88454,3462,3018,"egyeb"
51983,3462,126519,"konyvel"
35091,3462,132007,"konyvel"
45865,3462,122426,"konyvel"
75666,3462,2068,"egyeb"
68308,3462,3305,"egyeb"
38817,3462,132364,"konyvel"
45119,3462,150597,"konyvel"
70596,3462,145562,"konyvel"
92800,3462,129890,"konyvel"
